start,destination,km,price
Sandhurst Road,Jogeshwari,10,10
Sandhurst Road,Cotton Green,39,20
Sandhurst Road,Panvel,2,5
Sandhurst Road,Bhandup,10,10
Sandhurst Road,Naigaon,25,15
Sandhurst Road,Churchgate,30,15
Sandhurst Road,Vashi,43,20
Sandhurst Road,Kalwa,33,15
Sandhurst Road,Reay Road,11,10
Sandhurst Road,Mahim Junction,15,10
Sandhurst Road,Thane,9,5
Sandhurst Road,Nallasopara,7,5
Sandhurst Road,Vasai Road,38,20
Sandhurst Road,Virar,13,10
Dombivli,Dadar,37,20
Dombivli,Goregaon,50,20
Dombivli,Sandhurst Road,28,15
Dombivli,Vikhroli,8,5
Dombivli,Kurla,27,15
Dombivli,Grant Road,28,15
Dombivli,Santacruz,17,10
Dombivli,Byculla,19,10
Dombivli,Wadala Road,6,5
Dombivli,Marine Lines,43,20
Dombivli,Dockyard Road,17,10
Dombivli,Ghatkopar,10,10
Dombivli,Mulund,20,10
Dombivli,Nahur,3,5
Dombivli,Thakurli,18,10
Dombivli,Chunabhatti,35,15
Dombivli,Mahalaxmi,40,20
Dombivli,Currey Road,1,5
Dombivli,Bhayandar,35,15
Dombivli,Matunga Road,18,10
Dombivli,Malad,46,20
Dombivli,Chhatrapati Shivaji Maharaj Terminus,41,20
Dombivli,Kopar,47,20
Dombivli,Vile Parle,39,20
Dombivli,Chinchpokli,48,20
Dombivli,Kalyan Junction,8,5
Dombivli,Lower Parel,20,10
Dombivli,Masjid,5,5
Dombivli,Mira Road,15,10
Dombivli,Andheri,16,10
Dombivli,Mumbra,9,5
Dombivli,Tilak Nagar,43,20
Dombivli,Sion,32,15
Dombivli,Dahisar,48,20
Dombivli,Prabhadevi,46,20
Dombivli,Parel,4,5
Dombivli,Chembur,32,15
Dombivli,Sanpada,34,15
Dombivli,Kanjur Marg,32,15
Dombivli,Charni Road,12,10
Dombivli,Diva Junction,19,10
Dombivli,Ram Mandir,45,20
Dombivli,Matunga,13,10
Dombivli,Mankhurd,12,10
Dombivli,Borivali,11,10
Dombivli,Guru Tegh Bahadur Nagar,35,15
Dombivli,Mumbai Central,19,10
Dombivli,Bandra,34,15
Dombivli,Sewri,1,5
Dombivli,Vidyavihar,24,15
Dombivli,Khar Road,21,15
Dombivli,Kandivli,5,5
Dombivli,Jogeshwari,19,10
Dombivli,Cotton Green,12,10
Dombivli,Panvel,25,15
Dombivli,Bhandup,19,10
Dombivli,Naigaon,4,5
Dombivli,Churchgate,3,5
Dombivli,Vashi,16,10
Dombivli,Kalwa,6,5
Dombivli,Reay Road,34,15
Dombivli,Mahim Junction,38,20
Dombivli,Thane,20,10
Dombivli,Nallasopara,22,15
Dombivli,Vasai Road,15,10
Dombivli,Virar,16,10
Vikhroli,Dadar,44,20
Vikhroli,Goregaon,7,5
Vikhroli,Sandhurst Road,21,15
Vikhroli,Dombivli,8,5
Vikhroli,Kurla,20,10
Vikhroli,Grant Road,35,15
Vikhroli,Santacruz,10,10
Vikhroli,Byculla,40,20
Vikhroli,Wadala Road,3,5
Vikhroli,Marine Lines,36,20
Vikhroli,Dockyard Road,42,20
Vikhroli,Ghatkopar,49,20
Vikhroli,Mulund,13,10
Vikhroli,Nahur,46,20
Vikhroli,Thakurli,41,20
Vikhroli,Chunabhatti,28,15
Vikhroli,Mahalaxmi,33,15
Vikhroli,Currey Road,8,5
Vikhroli,Bhayandar,24,15
Vikhroli,Matunga Road,25,15
Vikhroli,Malad,39,20
Vikhroli,Chhatrapati Shivaji Maharaj Terminus,48,20
Vikhroli,Kopar,12,10
Vikhroli,Vile Parle,46,20
Vikhroli,Chinchpokli,5,5
Vikhroli,Kalyan Junction,1,5
Vikhroli,Lower Parel,27,15
Vikhroli,Masjid,48,20
Vikhroli,Mira Road,44,20
Vikhroli,Andheri,43,20
Vikhroli,Mumbra,16,10
Vikhroli,Tilak Nagar,36,20
Vikhroli,Sion,39,20
Vikhroli,Dahisar,5,5
Vikhroli,Prabhadevi,39,20
Vikhroli,Parel,5,5
Vikhroli,Chembur,39,20
Vikhroli,Sanpada,41,20
Vikhroli,Kanjur Marg,25,15
Vikhroli,Charni Road,19,10
Vikhroli,Diva Junction,40,20
Vikhroli,Ram Mandir,14,10
Vikhroli,Matunga,20,10
Vikhroli,Mankhurd,19,10
Vikhroli,Borivali,48,20
Vikhroli,Guru Tegh Bahadur Nagar,24,15
Vikhroli,Mumbai Central,40,20
Vikhroli,Bandra,25,15
Vikhroli,Sewri,44,20
Vikhroli,Vidyavihar,35,15
Vikhroli,Khar Road,28,15
Vikhroli,Kandivli,4,5
Vikhroli,Jogeshwari,12,10
Vikhroli,Cotton Green,19,10
Vikhroli,Panvel,32,15
Vikhroli,Bhandup,40,20
Vikhroli,Naigaon,5,5
Vikhroli,Churchgate,10,10
Vikhroli,Vashi,23,15
Vikhroli,Kalwa,13,10
Vikhroli,Reay Road,41,20
Vikhroli,Mahim Junction,45,20
Vikhroli,Thane,13,10
Vikhroli,Nallasopara,15,10
Vikhroli,Vasai Road,8,5
Vikhroli,Virar,9,5
Kurla,Dadar,13,10
Kurla,Goregaon,26,15
Kurla,Sandhurst Road,50,20
Kurla,Dombivli,27,15
Kurla,Vikhroli,20,10
Kurla,Grant Road,4,5
Kurla,Santacruz,11,10
Kurla,Byculla,9,5
Kurla,Wadala Road,22,15
Kurla,Marine Lines,35,15
Kurla,Dockyard Road,11,10
Kurla,Ghatkopar,18,10
Kurla,Mulund,8,5
Kurla,Nahur,27,15
Kurla,Thakurli,10,10
Kurla,Chunabhatti,9,5
Kurla,Mahalaxmi,14,10
Kurla,Currey Road,27,15
Kurla,Bhayandar,43,20
Kurla,Matunga Road,44,20
Kurla,Malad,32,15
Kurla,Chhatrapati Shivaji Maharaj Terminus,17,10
Kurla,Kopar,31,15
Kurla,Vile Parle,15,10
Kurla,Chinchpokli,24,15
Kurla,Kalyan Junction,32,15
Kurla,Lower Parel,46,20
Kurla,Masjid,29,15
Kurla,Mira Road,13,10
Kurla,Andheri,12,10
Kurla,Mumbra,35,15
Kurla,Tilak Nagar,35,15
Kurla,Sion,8,5
Kurla,Dahisar,24,15
Kurla,Prabhadevi,32,15
Kurla,Parel,24,15
Kurla,Chembur,8,5
Kurla,Sanpada,10,10
Kurla,Kanjur Marg,46,20
Kurla,Charni Road,38,20
Kurla,Diva Junction,9,5
Kurla,Ram Mandir,33,15
Kurla,Matunga,39,20
Kurla,Mankhurd,38,20
Kurla,Borivali,17,10
Kurla,Guru Tegh Bahadur Nagar,43,20
Kurla,Mumbai Central,9,5
Kurla,Bandra,44,20
Kurla,Sewri,25,15
Kurla,Vidyavihar,4,5
Kurla,Khar Road,47,20
Kurla,Kandivli,23,15
Kurla,Jogeshwari,9,5
Kurla,Cotton Green,38,20
Kurla,Panvel,1,5
Kurla,Bhandup,9,5
Kurla,Naigaon,24,15
Kurla,Churchgate,29,15
Kurla,Vashi,42,20
Kurla,Kalwa,32,15
Kurla,Reay Road,10,10
Kurla,Mahim Junction,14,10
Kurla,Thane,8,5
Kurla,Nallasopara,6,5
Kurla,Vasai Road,39,20
Kurla,Virar,12,10
Grant Road,Dadar,42,20
Grant Road,Goregaon,29,15
Grant Road,Sandhurst Road,5,5
Grant Road,Dombivli,28,15
Grant Road,Vikhroli,35,15
Grant Road,Kurla,4,5
Grant Road,Santacruz,44,20
Grant Road,Byculla,46,20
Grant Road,Wadala Road,33,15
Grant Road,Marine Lines,20,10
Grant Road,Dockyard Road,44,20
Grant Road,Ghatkopar,37,20
Grant Road,Mulund,47,20
Grant Road,Nahur,30,15
Grant Road,Thakurli,45,20
Grant Road,Chunabhatti,12,10
Grant Road,Mahalaxmi,17,10
Grant Road,Currey Road,28,15
Grant Road,Bhayandar,12,10
Grant Road,Matunga Road,11,10
Grant Road,Malad,23,15
Grant Road,Chhatrapati Shivaji Maharaj Terminus,38,20
Grant Road,Kopar,24,15
Grant Road,Vile Parle,40,20
Grant Road,Chinchpokli,31,15
Grant Road,Kalyan Junction,35,15
Grant Road,Lower Parel,9,5
Grant Road,Masjid,32,15
Grant Road,Mira Road,42,20
Grant Road,Andheri,43,20
Grant Road,Mumbra,20,10
Grant Road,Tilak Nagar,20,10
Grant Road,Sion,47,20
Grant Road,Dahisar,31,15
Grant Road,Prabhadevi,23,15
Grant Road,Parel,31,15
Grant Road,Chembur,47,20
Grant Road,Sanpada,45,20
Grant Road,Kanjur Marg,9,5
Grant Road,Charni Road,35,15
Grant Road,Diva Junction,46,20
Grant Road,Ram Mandir,22,15
Grant Road,Matunga,16,10
Grant Road,Mankhurd,17,10
Grant Road,Borivali,38,20
Grant Road,Guru Tegh Bahadur Nagar,12,10
Grant Road,Mumbai Central,46,20
Grant Road,Bandra,11,10
Grant Road,Sewri,28,15
Grant Road,Vidyavihar,1,5
Grant Road,Khar Road,8,5
Grant Road,Kandivli,32,15
Grant Road,Jogeshwari,46,20
Grant Road,Cotton Green,17,10
Grant Road,Panvel,4,5
Grant Road,Bhandup,46,20
Grant Road,Naigaon,31,15
Grant Road,Churchgate,26,15
Grant Road,Vashi,13,10
Grant Road,Kalwa,23,15
Grant Road,Reay Road,45,20
Grant Road,Mahim Junction,41,20
Grant Road,Thane,47,20
Grant Road,Nallasopara,49,20
Grant Road,Vasai Road,42,20
Grant Road,Virar,43,20
Santacruz,Dadar,3,5
Santacruz,Goregaon,16,10
Santacruz,Sandhurst Road,12,10
Santacruz,Dombivli,17,10
Santacruz,Vikhroli,10,10
Santacruz,Kurla,11,10
Santacruz,Grant Road,44,20
Santacruz,Byculla,49,20
Santacruz,Wadala Road,12,10
Santacruz,Marine Lines,25,15
Santacruz,Dockyard Road,1,5
Santacruz,Ghatkopar,8,5
Santacruz,Mulund,4,5
Santacruz,Nahur,37,20
Santacruz,Thakurli,50,20
Santacruz,Chunabhatti,19,10
Santacruz,Mahalaxmi,24,15
Santacruz,Currey Road,17,10
Santacruz,Bhayandar,33,15
Santacruz,Matunga Road,34,15
Santacruz,Malad,30,15
Santacruz,Chhatrapati Shivaji Maharaj Terminus,7,5
Santacruz,Kopar,21,15
Santacruz,Vile Parle,5,5
Santacruz,Chinchpokli,14,10
Santacruz,Kalyan Junction,42,20
Santacruz,Lower Parel,36,20
Santacruz,Masjid,39,20
Santacruz,Mira Road,3,5
Santacruz,Andheri,2,5
Santacruz,Mumbra,25,15
Santacruz,Tilak Nagar,25,15
Santacruz,Sion,48,20
Santacruz,Dahisar,14,10
Santacruz,Prabhadevi,30,15
Santacruz,Parel,14,10
Santacruz,Chembur,48,20
Santacruz,Sanpada,50,20
Santacruz,Kanjur Marg,36,20
Santacruz,Charni Road,28,15
Santacruz,Diva Junction,49,20
Santacruz,Ram Mandir,23,15
Santacruz,Matunga,29,15
Santacruz,Mankhurd,28,15
Santacruz,Borivali,7,5
Santacruz,Guru Tegh Bahadur Nagar,33,15
Santacruz,Mumbai Central,49,20
Santacruz,Bandra,34,15
Santacruz,Sewri,35,15
Santacruz,Vidyavihar,44,20
Santacruz,Khar Road,37,20
Santacruz,Kandivli,13,10
Santacruz,Jogeshwari,49,20
Santacruz,Cotton Green,28,15
Santacruz,Panvel,41,20
Santacruz,Bhandup,49,20
Santacruz,Naigaon,14,10
Santacruz,Churchgate,19,10
Santacruz,Vashi,32,15
Santacruz,Kalwa,22,15
Santacruz,Reay Road,50,20
Santacruz,Mahim Junction,4,5
Santacruz,Thane,48,20
Santacruz,Nallasopara,6,5
Santacruz,Vasai Road,49,20
Santacruz,Virar,2,5
Byculla,Dadar,5,5
Byculla,Goregaon,18,10
Byculla,Sandhurst Road,10,10
Byculla,Dombivli,19,10
Byculla,Vikhroli,40,20
Byculla,Kurla,9,5
Byculla,Grant Road,46,20
Byculla,Santacruz,49,20
Byculla,Wadala Road,14,10
Byculla,Marine Lines,25,15
Byculla,Dockyard Road,49,20
Byculla,Ghatkopar,10,10
Byculla,Mulund,2,5
Byculla,Nahur,35,15
Byculla,Thakurli,50,20
Byculla,Chunabhatti,17,10
Byculla,Mahalaxmi,22,15
Byculla,Currey Road,19,10
Byculla,Bhayandar,17,10
Byculla,Matunga Road,36,20
Byculla,Malad,28,15
Byculla,Chhatrapati Shivaji Maharaj Terminus,9,5
Byculla,Kopar,23,15
Byculla,Vile Parle,7,5
Byculla,Chinchpokli,16,10
Byculla,Kalyan Junction,40,20
Byculla,Lower Parel,38,20
Byculla,Masjid,37,20
Byculla,Mira Road,47,20
Byculla,Andheri,48,20
Byculla,Mumbra,27,15
Byculla,Tilak Nagar,25,15
Byculla,Sion,50,20
Byculla,Dahisar,16,10
Byculla,Prabhadevi,28,15
Byculla,Parel,16,10
Byculla,Chembur,50,20
Byculla,Sanpada,2,5
Byculla,Kanjur Marg,14,10
Byculla,Charni Road,30,15
Byculla,Diva Junction,1,5
Byculla,Ram Mandir,27,15
Byculla,Matunga,31,15
Byculla,Mankhurd,30,15
Byculla,Borivali,43,20
Byculla,Guru Tegh Bahadur Nagar,17,10
Byculla,Mumbai Central,1,5
Byculla,Bandra,16,10
Byculla,Sewri,33,15
Byculla,Vidyavihar,6,5
Byculla,Khar Road,39,20
Byculla,Kandivli,37,20
Byculla,Jogeshwari,1,5
Byculla,Cotton Green,30,15
Byculla,Panvel,43,20
Byculla,Bhandup,1,5
Byculla,Naigaon,36,20
Byculla,Churchgate,21,15
Byculla,Vashi,34,15
Byculla,Kalwa,24,15
Byculla,Reay Road,2,5
Byculla,Mahim Junction,6,5
Byculla,Thane,2,5
Byculla,Nallasopara,4,5
Byculla,Vasai Road,47,20
Byculla,Virar,48,20
Wadala Road,Dadar,42,20
Wadala Road,Goregaon,5,5
Wadala Road,Sandhurst Road,23,15
Wadala Road,Dombivli,6,5
Wadala Road,Vikhroli,3,5
Wadala Road,Kurla,22,15
Wadala Road,Grant Road,33,15
Wadala Road,Santacruz,12,10
Wadala Road,Byculla,14,10
Wadala Road,Marine Lines,38,20
Wadala Road,Dockyard Road,12,10
Wadala Road,Ghatkopar,47,20
Wadala Road,Mulund,15,10
Wadala Road,Nahur,48,20
Wadala Road,Thakurli,13,10
Wadala Road,Chunabhatti,30,15
Wadala Road,Mahalaxmi,35,15
Wadala Road,Currey Road,46,20
Wadala Road,Bhayandar,30,15
Wadala Road,Matunga Road,23,15
Wadala Road,Malad,41,20
Wadala Road,Chhatrapati Shivaji Maharaj Terminus,46,20
Wadala Road,Kopar,10,10
Wadala Road,Vile Parle,44,20
Wadala Road,Chinchpokli,3,5
Wadala Road,Kalyan Junction,3,5
Wadala Road,Lower Parel,25,15
Wadala Road,Masjid,50,20
Wadala Road,Mira Road,10,10
Wadala Road,Andheri,11,10
Wadala Road,Mumbra,14,10
Wadala Road,Tilak Nagar,38,20
Wadala Road,Sion,37,20
Wadala Road,Dahisar,3,5
Wadala Road,Prabhadevi,41,20
Wadala Road,Parel,3,5
Wadala Road,Chembur,37,20
Wadala Road,Sanpada,39,20
Wadala Road,Kanjur Marg,27,15
Wadala Road,Charni Road,17,10
Wadala Road,Diva Junction,14,10
Wadala Road,Ram Mandir,40,20
Wadala Road,Matunga,18,10
Wadala Road,Mankhurd,17,10
Wadala Road,Borivali,6,5
Wadala Road,Guru Tegh Bahadur Nagar,30,15
Wadala Road,Mumbai Central,14,10
Wadala Road,Bandra,29,15
Wadala Road,Sewri,46,20
Wadala Road,Vidyavihar,19,10
Wadala Road,Khar Road,26,15
Wadala Road,Kandivli,50,20
Wadala Road,Jogeshwari,14,10
Wadala Road,Cotton Green,17,10
Wadala Road,Panvel,30,15
Wadala Road,Bhandup,38,20
Wadala Road,Naigaon,49,20
Wadala Road,Churchgate,8,5
Wadala Road,Vashi,21,15
Wadala Road,Kalwa,11,10
Wadala Road,Reay Road,39,20
Wadala Road,Mahim Junction,43,20
Wadala Road,Thane,15,10
Wadala Road,Nallasopara,17,10
Wadala Road,Vasai Road,10,10
Wadala Road,Virar,11,10
Marine Lines,Dadar,29,15
Marine Lines,Goregaon,42,20
Marine Lines,Sandhurst Road,36,20
Marine Lines,Dombivli,43,20
Marine Lines,Vikhroli,36,20
Marine Lines,Kurla,35,15
Marine Lines,Grant Road,20,10
Marine Lines,Santacruz,25,15
Marine Lines,Byculla,25,15
Marine Lines,Wadala Road,38,20
Marine Lines,Dockyard Road,27,15
Marine Lines,Ghatkopar,34,15
Marine Lines,Mulund,28,15
Marine Lines,Nahur,11,10
Marine Lines,Thakurli,26,15
Marine Lines,Chunabhatti,43,20
Marine Lines,Mahalaxmi,48,20
Marine Lines,Currey Road,43,20
Marine Lines,Bhayandar,9,5
Marine Lines,Matunga Road,10,10
Marine Lines,Malad,4,5
Marine Lines,Chhatrapati Shivaji Maharaj Terminus,33,15
Marine Lines,Kopar,47,20
Marine Lines,Vile Parle,31,15
Marine Lines,Chinchpokli,40,20
Marine Lines,Kalyan Junction,16,10
Marine Lines,Lower Parel,12,10
Marine Lines,Masjid,13,10
Marine Lines,Mira Road,29,15
Marine Lines,Andheri,28,15
Marine Lines,Mumbra,1,5
Marine Lines,Tilak Nagar,1,5
Marine Lines,Sion,24,15
Marine Lines,Dahisar,40,20
Marine Lines,Prabhadevi,4,5
Marine Lines,Parel,40,20
Marine Lines,Chembur,24,15
Marine Lines,Sanpada,26,15
Marine Lines,Kanjur Marg,40,20
Marine Lines,Charni Road,4,5
Marine Lines,Diva Junction,25,15
Marine Lines,Ram Mandir,49,20
Marine Lines,Matunga,5,5
Marine Lines,Mankhurd,4,5
Marine Lines,Borivali,33,15
Marine Lines,Guru Tegh Bahadur Nagar,9,5
Marine Lines,Mumbai Central,25,15
Marine Lines,Bandra,10,10
Marine Lines,Sewri,9,5
Marine Lines,Vidyavihar,20,10
Marine Lines,Khar Road,13,10
Marine Lines,Kandivli,39,20
Marine Lines,Jogeshwari,25,15
Marine Lines,Cotton Green,4,5
Marine Lines,Panvel,17,10
Marine Lines,Bhandup,25,15
Marine Lines,Naigaon,40,20
Marine Lines,Churchgate,45,20
Marine Lines,Vashi,8,5
Marine Lines,Kalwa,48,20
Marine Lines,Reay Road,26,15
Marine Lines,Mahim Junction,30,15
Marine Lines,Thane,28,15
Marine Lines,Nallasopara,30,15
Marine Lines,Vasai Road,23,15
Marine Lines,Virar,24,15
Dockyard Road,Dadar,3,5
Dockyard Road,Goregaon,16,10
Dockyard Road,Sandhurst Road,12,10
Dockyard Road,Dombivli,17,10
Dockyard Road,Vikhroli,42,20
Dockyard Road,Kurla,11,10
Dockyard Road,Grant Road,44,20
Dockyard Road,Santacruz,1,5
Dockyard Road,Byculla,49,20
Dockyard Road,Wadala Road,12,10
Dockyard Road,Marine Lines,27,15
Dockyard Road,Ghatkopar,8,5
Dockyard Road,Mulund,4,5
Dockyard Road,Nahur,37,20
Dockyard Road,Thakurli,50,20
Dockyard Road,Chunabhatti,19,10
Dockyard Road,Mahalaxmi,24,15
Dockyard Road,Currey Road,17,10
Dockyard Road,Bhayandar,19,10
Dockyard Road,Matunga Road,34,15
Dockyard Road,Malad,30,15
Dockyard Road,Chhatrapati Shivaji Maharaj Terminus,7,5
Dockyard Road,Kopar,21,15
Dockyard Road,Vile Parle,5,5
Dockyard Road,Chinchpokli,14,10
Dockyard Road,Kalyan Junction,42,20
Dockyard Road,Lower Parel,36,20
Dockyard Road,Masjid,39,20
Dockyard Road,Mira Road,3,5
Dockyard Road,Andheri,50,20
Dockyard Road,Mumbra,25,15
Dockyard Road,Tilak Nagar,27,15
Dockyard Road,Sion,48,20
Dockyard Road,Dahisar,14,10
Dockyard Road,Prabhadevi,30,15
Dockyard Road,Parel,14,10
Dockyard Road,Chembur,48,20
Dockyard Road,Sanpada,50,20
Dockyard Road,Kanjur Marg,16,10
Dockyard Road,Charni Road,28,15
Dockyard Road,Diva Junction,49,20
Dockyard Road,Ram Mandir,23,15
Dockyard Road,Matunga,29,15
Dockyard Road,Mankhurd,28,15
Dockyard Road,Borivali,7,5
Dockyard Road,Guru Tegh Bahadur Nagar,33,15
Dockyard Road,Mumbai Central,49,20
Dockyard Road,Bandra,34,15
Dockyard Road,Sewri,35,15
Dockyard Road,Vidyavihar,44,20
Dockyard Road,Khar Road,37,20
Dockyard Road,Kandivli,13,10
Dockyard Road,Jogeshwari,3,5
Dockyard Road,Cotton Green,28,15
Dockyard Road,Panvel,41,20
Dockyard Road,Bhandup,49,20
Dockyard Road,Naigaon,14,10
Dockyard Road,Churchgate,19,10
Dockyard Road,Vashi,32,15
Dockyard Road,Kalwa,22,15
Dockyard Road,Reay Road,50,20
Dockyard Road,Mahim Junction,4,5
Dockyard Road,Thane,4,5
Dockyard Road,Nallasopara,6,5
Dockyard Road,Vasai Road,49,20
Dockyard Road,Virar,50,20
Ghatkopar,Dadar,46,20
Ghatkopar,Goregaon,9,5
Ghatkopar,Sandhurst Road,19,10
Ghatkopar,Dombivli,10,10
Ghatkopar,Vikhroli,49,20
Ghatkopar,Kurla,18,10
Ghatkopar,Grant Road,37,20
Ghatkopar,Santacruz,8,5
Ghatkopar,Byculla,10,10
Ghatkopar,Wadala Road,47,20
Ghatkopar,Marine Lines,34,15
Ghatkopar,Dockyard Road,8,5
Ghatkopar,Mulund,11,10
Ghatkopar,Nahur,44,20
Ghatkopar,Thakurli,9,5
Ghatkopar,Chunabhatti,26,15
Ghatkopar,Mahalaxmi,31,15
Ghatkopar,Currey Road,42,20
Ghatkopar,Bhayandar,26,15
Ghatkopar,Matunga Road,27,15
Ghatkopar,Malad,37,20
